"File","Build","Level","Feat","Match"
"KM_Builds_L.md","CURSED SABOTEUR (Bell + Wand + Mirror)","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","CURSED SABOTEUR (Bell + Wand + Mirror)","17","Perfect Implement","Perfect Implement"
"KM_Builds_L.md","CURSED SABOTEUR (Bell + Wand + Mirror)","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L.md","TOME IMPLEMENT + INVESTIGATOR","13","Supreme Implement","Supreme Implement"
"KM_Builds_L.md","TOME IMPLEMENT + INVESTIGATOR","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","TOME IMPLEMENT + INVESTIGATOR","17","Perfect Implement","Perfect Implement"
"KM_Builds_L.md","TOME IMPLEMENT + INVESTIGATOR","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L.md","PURE IMPLEMENT EXPLOITER (NO DIP)","13","Supreme Implement","Supreme Implement"
"KM_Builds_L.md","PURE IMPLEMENT EXPLOITER (NO DIP)","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","PURE IMPLEMENT EXPLOITER (NO DIP)","17","Perfect Implement","Perfect Implement"
"KM_Builds_L.md","PURE IMPLEMENT EXPLOITER (NO DIP)","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L.md","CHALICE IMPLEMENT SUPPORT","13","Supreme Implement","Supreme Implement"
"KM_Builds_L.md","CHALICE IMPLEMENT SUPPORT","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","CHALICE IMPLEMENT SUPPORT","17","Perfect Implement","Perfect Implement"
"KM_Builds_L.md","CHALICE IMPLEMENT SUPPORT","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L2.md","SPIRIT PATRON + ANIMIST","13","True Lesson","True Lesson"
"KM_Builds_L2.md","SPIRIT PATRON + ANIMIST","17","Grand Lesson","Grand Lesson"
"KM_Builds_L2.md","SPIRIT PATRON + ANIMIST","20","Coven Spell","Coven Spell"
"KM_Builds_L2.md","LESSON OF LIFE HEAL WITCH","13","True Lesson","True Lesson"
"KM_Builds_L2.md","LESSON OF LIFE HEAL WITCH","17","Grand Lesson","Grand Lesson"
"KM_Builds_L2.md","LESSON OF LIFE HEAL WITCH","20","Coven Spell","Coven Spell"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","2","Wellspring's free 1st-level spell stacks an extra debuff or curse-adjacent slot beyond the Enfeeblement Hex chain — more curses per encounter.","Enfeeblement Hex"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","3","Inverted thematic — a celestial host channeling resentment hexes makes the Major Curse + Patron's Transformation late-game fall feel earned.","Major Curse"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","8","Will bonus closes the WIS 12 defensive gap — mental save resistance protects the curse caster from being shut down before Reflective Ripple lands.","Reflective Ripple"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","10","Free light cantrip on the familiar's action budget keeps the Raven free to deliver Enfeeblement Hex every round without splitting attention.","Enfeeblement Hex"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","4","Major Curse (Enfeebled 2 instead of 1)","Major Curse"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","6","Reflective Ripple (target's save success rebounds hex back at half)","Reflective Ripple"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","13","True Lesson","True Lesson"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","17","Grand Lesson","Grand Lesson"
"KM_Builds_L2.md","THE HEX-BOUND SHEPHERD","20","Coven Spell","Coven Spell"
"KM_Builds_L2.md","PURE UTILITY WITCH","13","True Lesson","True Lesson"
"KM_Builds_L2.md","PURE UTILITY WITCH","17","Grand Lesson","Grand Lesson"
"KM_Builds_L2.md","PURE UTILITY WITCH","20","Coven Spell","Coven Spell"
"KM_Builds_L3.md","PSYCHIC AMP + THAUMATURGE","13","Supreme Implement","Supreme Implement"
"KM_Builds_L3.md","PSYCHIC AMP + THAUMATURGE","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L3.md","PSYCHIC AMP + THAUMATURGE","17","Perfect Implement","Perfect Implement"
"KM_Builds_L3.md","PSYCHIC AMP + THAUMATURGE","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","4","Basic Transcendence (1 surge/day)","Basic Transcendence"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","10","Master Transcendence (3 surges/day)","Master Transcendence"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","13","Supreme Implement","Supreme Implement"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","17","Perfect Implement","Perfect Implement"
"KM_Builds_L3.md","IKON IMPLEMENT THAUMATURGE","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L3.md","ROGUE SNEAK + THAUMATURGE","13","Supreme Implement","Supreme Implement"
"KM_Builds_L3.md","ROGUE SNEAK + THAUMATURGE","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L3.md","ROGUE SNEAK + THAUMATURGE","17","Perfect Implement","Perfect Implement"
"KM_Builds_L3.md","ROGUE SNEAK + THAUMATURGE","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L3.md","PURE SUPPORT THAUMATURGE","13","Supreme Implement","Supreme Implement"
"KM_Builds_L3.md","PURE SUPPORT THAUMATURGE","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L3.md","PURE SUPPORT THAUMATURGE","17","Perfect Implement","Perfect Implement"
"KM_Builds_L3.md","PURE SUPPORT THAUMATURGE","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L4.md","FAMILIAR WITCH + ALCHEMIST","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","FAMILIAR WITCH + ALCHEMIST","20","Coven Spell","Coven Spell"
"KM_Builds_L4.md","HEX MAGUS","13","True Lesson","True Lesson"
"KM_Builds_L4.md","HEX MAGUS","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","HEX MAGUS","20","Coven Spell","Coven Spell"
"KM_Builds_L4.md","PATRON SPELL ACCESS + WIZARD","13","True Lesson","True Lesson"
"KM_Builds_L4.md","PATRON SPELL ACCESS + WIZARD","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","PATRON SPELL ACCESS + WIZARD","20","Coven Spell","Coven Spell"
"KM_Builds_L4.md","CACKLE SUPPORT + BARD","13","True Lesson","True Lesson"
"KM_Builds_L4.md","CACKLE SUPPORT + BARD","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","CACKLE SUPPORT + BARD","20","Coven Spell","Coven Spell"
"KM_Builds_L4.md","PURE HEX DEBUFF (NO DIP)","13","True Lesson","True Lesson"
"KM_Builds_L4.md","PURE HEX DEBUFF (NO DIP)","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","PURE HEX DEBUFF (NO DIP)","20","Coven Spell","Coven Spell"
"KM_Builds_L4.md","BEASTBOUND FAMILIAR + DRUID","17","Grand Lesson","Grand Lesson"
"KM_Builds_L4.md","BEASTBOUND FAMILIAR + DRUID","20","Coven Spell","Coven Spell"
"KM_Builds_M.md","SPELLBOOK BLASTER + PSYCHIC","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M.md","SCHOOL SPECIALIST + MAGUS","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M.md","BONDED ITEM + ALCHEMIST","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M.md","UNIVERSALIST UTILITY + INVESTIGATOR","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M.md","PURE PREPARED BLASTER (NO DIP)","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M.md","STAFF SPECIALIST + CLERIC","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M2.md","FAMILIAR WIZARD + WITCH","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M2.md","BATTLE MAGIC + FIGHTER","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M2.md","IKON MAGE WIZARD","3","Basic Transcendence (1 surge/day)","Basic Transcendence"
"KM_Builds_M2.md","IKON MAGE WIZARD","10","Master Transcendence (3 surges/day)","Master Transcendence"
"KM_Builds_M2.md","IKON MAGE WIZARD","17","Spell Combination Mastery","Spell Combination Mastery"
"KM_Builds_M2.md","SUPPORT CONTROL WIZARD","17","Spell Combination Mastery","Spell Combination Mastery"
